dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg2_360_hemisphere, 990, 510, 0.43341, 3.64587, 2.04825, 0.22874, 3.89506, 2.05797, 0.12334, 3.69919, 2.14443, 0.19132, 3.69885, 2.07310, 0.13501, 3.63277, 1.99890, 0.08398, NaN, NaN, NaN, 101.72853, 0.00000, 0.31417, NaN, NaN, NaN
freiburg2_360_hemisphere, 990, 750, 0.59924, 6.91514, 2.40408, 0.45890, 7.19203, 2.42207, 0.59856, 6.59945, 2.50924, 0.44657, 6.85841, 2.59054, 0.46825, 7.15686, 2.57154, 0.49183, NaN, NaN, NaN, 27.47986, 0.00000, 0.31415, NaN, NaN, NaN
freiburg2_360_hemisphere, 610, 640, 0.65282, 4.62971, 0.82386, 0.41273, 4.50150, 0.64179, 0.24184, 4.47545, 0.84295, 0.35684, 1.51914, 0.19276, 0.11861, 1.44967, 0.33584, 0.15516, NaN, NaN, NaN, 17.29049, 0.00000, 0.31417, 3.37587, 0.05722, 0.09661
freiburg2_360_hemisphere, 640, 620, 0.77669, 3.59195, 0.69946, 0.34848, 4.09504, 0.15156, 0.06716, 3.71736, 0.49047, 0.22321, 3.87170, 0.01774, 0.04172, 4.29164, 0.02046, 0.05039, NaN, NaN, NaN, 8.69939, 0.00000, 0.31416, 7.50372, 0.02907, 0.05757
freiburg2_360_hemisphere, 760, 490, 0.82577, 2.29383, 0.89643, 0.03617, 1.72215, 0.44661, 0.02565, 1.80283, 0.78120, 0.06496, 1.88191, 0.26157, 0.01429, 1.52595, 0.34855, 0.03786, NaN, NaN, NaN, 0.71201, 0.00000, 0.31416, 4.57093, 0.08132, 0.01209
freiburg2_360_hemisphere, 40, 50, 0.91995, 1.71482, 0.08915, 0.01869, 2.12696, 0.02998, 0.02651, 1.94553, 0.06185, 0.01988, 1.86434, 0.04073, 0.02454, 1.98125, 0.03511, 0.02533, NaN, NaN, NaN, 3.47414, 0.00000, 0.31416, 4.71353, 0.02739, 0.02751
freiburg2_360_kidnap, 330, 240, 0.10889, 12.43633, 4.15713, 0.88857, 12.55875, 4.24510, 0.84615, 11.89279, 4.17753, 0.89701, 13.34727, 4.17533, 0.89404, 12.66687, 4.18182, 0.89839, NaN, NaN, NaN, 120.03181, NaN, NaN, 17.27127, 4.28322, 0.94151
freiburg2_360_kidnap, 970, 770, 0.26442, 2.99851, 3.70438, 0.07749, 5.58118, 3.42625, 0.13277, 3.69886, 3.55781, 0.06913, 5.57573, 3.41504, 0.12542, 4.71299, 3.55638, 0.06803, NaN, NaN, NaN, 120.03471, NaN, NaN, 3.69679, 2.11211, 0.07114
freiburg2_360_kidnap, 730, 790, 0.34416, 3.24825, 2.75499, 0.10646, 4.13143, 2.25694, 0.11731, 3.44385, 2.52600, 0.11794, 5.48156, 1.73065, 0.10280, 4.01955, 2.04207, 0.08952, NaN, NaN, NaN, 11.69378, 0.00000, 0.31417, 12.88509, 0.39081, 0.15513
freiburg2_360_kidnap, 720, 630, 0.43634, 1.96771, 1.93877, 0.59517, 2.53206, 1.39649, 0.19830, 2.36990, 1.97351, 0.58518, 2.49172, 1.38369, 0.19181, 1.77025, 2.22810, 0.47512, NaN, NaN, NaN, 102.92324, 0.00000, 0.31417, 3.18485, NaN, NaN
