ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
145, 319, 0.46887, 11.41345, 0.23226, 0.45758, 5.90937, 0.03302, 0.12603, 9.93719, 0.10073, 0.34901, 4.31961, 0.01795, 0.06440, 5.43516, 0.01911, 0.07056, NaN, NaN, NaN, 2.87918, 0.03868, 0.05033, 8.37377, 0.03283, 0.11477
601, 877, 0.43639, 2.00150, 0.18558, 0.17448, 1.23147, 0.14426, 0.12829, 1.71862, 0.15799, 0.14723, 1.01823, 0.14048, 0.12631, 0.86999, 0.14173, 0.12303, NaN, NaN, NaN, 4.11857, 0.18382, 0.21290, 2.65927, 0.10952, 0.09609
1033, 595, 0.96053, 1.36463, 0.00577, 0.01408, 2.11429, 0.00663, 0.02550, 1.48150, 0.00380, 0.02125, 2.07490, 0.00604, 0.02463, 1.93969, 0.00636, 0.02564, 0.23368, 0.00305, 0.01726, 0.27416, 0.27324, 2.85532, 4.31588, 0.00742, 0.02122
439, 895, 0.46877, 5.12218, 0.10673, 0.05529, 5.07938, 0.07120, 0.05935, 4.45103, 0.09160, 0.05586, 4.93952, 0.07083, 0.11203, 4.39075, 0.09393, 0.05656, NaN, NaN, NaN, 5.80480, 0.00890, 0.02989, 8.08551, 0.00633, 0.01858
667, 337, 0.48988, 3.34369, 0.10481, 0.37451, 5.01405, 0.06918, 0.36787, 3.57028, 0.08807, 0.37621, 4.71955, 0.07167, 0.37380, 5.36926, 0.06704, 0.36121, NaN, NaN, NaN, 2.99095, 0.16199, 0.20013, 6.94134, 0.01337, 0.04734
289, 163, 0.59541, 2.31222, 0.10528, 0.07901, 1.53771, 0.01869, 0.04854, 1.63091, 0.03376, 0.05845, 1.81031, 0.01804, 0.05074, 2.33161, 0.01389, 0.03908, NaN, NaN, NaN, 0.63063, 0.21957, 0.21079, 4.67217, 0.01482, 0.04046
829, 529, 0.79394, 1.26600, 0.01100, 0.05920, 1.33746, 0.00489, 0.03142, 1.38725, 0.00672, 0.04108, 1.47282, 0.00265, 0.02181, 1.26855, 0.00286, 0.02284, 0.23301, 0.01220, 0.04703, 0.35355, 0.00000, 0.31417, 2.60671, 0.00272, 0.02157
271, 679, 0.56128, 2.70274, 0.00460, 0.05088, 2.83810, 0.00234, 0.04505, 2.36646, 0.00272, 0.05988, 3.91223, 0.00434, 0.02086, 2.47384, 0.00276, 0.05986, NaN, NaN, NaN, 1.07302, 0.03507, 0.21581, 5.62014, 0.00384, 0.01414
553, 709, 0.52317, 11.71384, 0.40207, 0.37095, 4.99970, 0.16616, 0.11213, 11.60751, 0.35612, 0.06802, 5.52627, 0.17244, 0.11803, 4.63677, 0.16693, 0.10622, NaN, NaN, NaN, 2.42697, 0.44271, 0.16653, 8.22645, 0.00697, 0.00923
769, 331, 0.36558, 3.53196, 0.10698, 0.13511, 6.20804, 0.09866, 0.09855, 3.70897, 0.11517, 0.11221, 3.77543, 0.10783, 0.13511, 4.03630, 0.11680, 0.11860, NaN, NaN, NaN, 6.83765, 0.17522, 0.37270, 2.95454, 0.04507, 0.23919
