frame,overlap,angle,all_iters,all_time,all_t_err,all_r_err,pct_iters,pct_time,pct_t_err,pct_r_err,sigma_iters,sigma_time,sigma_t_err,sigma_r_err,x84_iters,x84_time,x84_t_err,x84_r_err,dynamic_iters,dynamic_time,dynamic_t_err,dynamic_r_err,hmrf_iters,hmrf_em_iters,hmrf_time,hmrf_t_err,hmrf_r_err
464, 0.65954, 0.10472,16, 1.04797, 0.01953, 0.08452,12, 0.88793, 0.01076, 0.03878,10, 0.72604, 0.01288, 0.04452,10, 0.68369, 0.01138, 0.04033,11, 0.76468, 0.01198, 0.04229,19,1158, 4.56384, 0.00283, 0.02518
488, 0.61728, 0.10472,26, 1.31604, 0.03399, 0.14581,20, 0.95892, 0.01261, 0.04406,12, 0.67497, 0.01652, 0.06950,16, 0.78152, 0.01314, 0.05166,16, 0.81639, 0.01353, 0.05308,28,1761, 6.48479, 0.01155, 0.02027
492, 0.63286, 0.10472,31, 1.50686, 0.03051, 0.12230,23, 1.03263, 0.01331, 0.03953,13, 0.64541, 0.01565, 0.05581,20, 1.03550, 0.01372, 0.04469,19, 0.96357, 0.01373, 0.04447,29,1801, 7.27595, 0.01042, 0.02371
504, 0.59215, 0.10472,17, 0.88281, 0.02455, 0.09923,16, 0.80314, 0.01297, 0.05264,9, 0.57607, 0.01570, 0.06585,11, 0.61642, 0.01473, 0.06286,15, 0.83666, 0.01429, 0.06028,36,1860, 7.69249, 0.00765, 0.02183
525, 0.61173, 0.10472,11, 0.78808, 0.01676, 0.09507,14, 0.99885, 0.00948, 0.03798,11, 0.72715, 0.01214, 0.05761,14, 0.89762, 0.01041, 0.04308,14, 0.95819, 0.01130, 0.04875,12,717, 3.22994, 0.00854, 0.02649
534, 0.70111, 0.10472,14, 1.02698, 0.01481, 0.07990,15, 1.25578, 0.00844, 0.03591,18, 1.08897, 0.01009, 0.04852,16, 1.16416, 0.00809, 0.03494,16, 1.19682, 0.00843, 0.03762,18,1067, 4.42007, 0.00465, 0.02569
587, 0.87509, 0.10472,11, 0.67934, 0.01107, 0.02717,15, 0.88360, 0.00452, 0.01644,13, 0.66973, 0.00854, 0.02243,14, 0.75196, 0.00446, 0.01809,17, 0.90511, 0.00327, 0.01655,16,895, 3.62806, 0.00297, 0.02197
638, 0.78560, 0.10472,15, 1.09227, 0.02321, 0.06311,14, 1.05315, 0.01127, 0.03173,14, 0.94081, 0.01481, 0.04271,14, 1.01973, 0.01080, 0.03002,15, 1.02612, 0.00982, 0.02717,13,667, 3.04143, 0.00938, 0.02627
698, 0.74227, 0.10472,30, 4.24506, 0.07714, 0.19829,15, 1.95768, 0.01026, 0.02364,14, 1.53977, 0.01623, 0.05680,19, 1.94188, 0.00611, 0.00857,21, 2.14078, 0.00476, 0.01036,17,974, 4.86831, 0.00480, 0.00970
717, 0.56078, 0.10472,21, 3.93731, 0.10111, 0.24509,50, 7.44013, 0.03782, 0.25066,23, 4.11209, 0.07727, 0.32543,23, 2.88120, 0.01198, 0.07181,45, 5.47789, 0.00636, 0.01774,18,872, 5.14675, 0.01025, 0.02540
723, 0.42354, 0.10472,50,13.26739, 0.50780, 0.71242,32, 6.51040, 0.08248, 0.34281,50,12.31234, 0.24066, 0.41841,20, 3.36180, 0.03472, 0.23712,50, 8.91377, 0.03889, 0.18690,21,593, 5.32307, 0.03640, 0.18976
732, 0.45719, 0.10472,50,10.17795, 0.47993, 0.73536,35, 4.14112, 0.04512, 0.14099,20, 2.48097, 0.09502, 0.24118,33, 3.73606, 0.04411, 0.13530,35, 3.64791, 0.04404, 0.13385,44,2049,12.67245, 0.02496, 0.05007
736, 0.45589, 0.10472,50,10.74348, 0.51999, 0.79190,33, 4.24901, 0.04691, 0.12660,14, 2.11417, 0.10906, 0.23402,33, 4.36277, 0.04656, 0.12242,30, 4.07943, 0.04190, 0.10219,20,1071, 6.71183, 0.02637, 0.05106
747, 0.44995, 0.10472,50,10.42743, 0.48549, 0.73544,32, 4.15693, 0.04725, 0.15279,20, 2.97168, 0.10707, 0.27258,31, 3.74834, 0.04336, 0.14222,34, 3.98868, 0.04353, 0.14238,30,1517, 9.00133, 0.02765, 0.05812
756, 0.38690, 0.10472,29, 3.24341, 0.16631, 0.51714,31, 3.54226, 0.06665, 0.53661,38, 3.94735, 0.12209, 0.55194,42, 4.32375, 0.07604, 0.53049,24, 2.77173, 0.06049, 0.54484,26,814, 6.21495, 0.02986, 0.11392
759, 0.38619, 0.10472,29, 3.77724, 0.18668, 0.52682,31, 3.58171, 0.07189, 0.53794,42, 4.68190, 0.14314, 0.58229,49, 5.21273, 0.07709, 0.53496,23, 3.00036, 0.05860, 0.55184,29,917, 6.52720, 0.03123, 0.10485
763, 0.35746, 0.10472,44, 8.35844, 0.28018, 0.50679,45, 7.33164, 0.13522, 0.52904,44, 7.57449, 0.24504, 0.53115,50, 6.13264, 0.15077, 0.35082,34, 5.80406, 0.06454, 0.54308,17,881, 5.78553, 0.02032, 0.01357
773, 0.38582, 0.10472,50,11.88345, 0.52956, 0.68151,32, 5.86427, 0.17007, 0.43079,50,10.75154, 0.27401, 0.46697,50, 8.32155, 0.09348, 0.32477,37, 8.00303, 0.07294, 0.51623,17,622, 5.06078, 0.03234, 0.09414
776, 0.36398, 0.10472,50,20.60536, 0.67449, 1.37701,50,15.89691, 0.52177, 1.02149,50,15.82718, 0.56737, 0.98840,50,16.60980, 0.49945, 1.00531,50,20.90751, 0.66077, 1.34471,15,931, 7.61183, 0.02337, 0.06840
789, 0.67033, 0.10472,49, 8.63436, 0.26142, 0.50602,26, 3.73373, 0.03072, 0.10227,40, 5.29361, 0.05680, 0.18399,19, 2.63752, 0.01258, 0.04084,29, 3.97488, 0.00726, 0.03257,21,1182, 6.72975, 0.00619, 0.02065
796, 0.69027, 0.10472,50, 8.57590, 0.22648, 0.45007,28, 3.61988, 0.02710, 0.09659,41, 5.20084, 0.05401, 0.18046,18, 2.44394, 0.00967, 0.03419,27, 3.30620, 0.00653, 0.02952,18,1050, 5.77096, 0.00639, 0.02002
817, 0.83922, 0.10472,15, 1.17277, 0.01752, 0.05365,16, 1.10243, 0.00838, 0.02404,13, 0.91996, 0.01128, 0.03344,14, 0.93224, 0.00729, 0.02215,19, 1.29817, 0.00560, 0.01934,15,776, 3.49403, 0.00621, 0.01974
873, 0.89504, 0.10472,21, 0.73403, 0.04799, 0.05693,10, 0.40887, 0.01340, 0.03298,20, 0.65081, 0.02816, 0.05071,11, 0.48722, 0.01357, 0.03534,12, 0.47672, 0.01816, 0.04459,11,478, 2.11166, 0.01069, 0.02951
914, 0.83199, 0.10472,50, 3.48059, 0.13736, 0.16208,11, 0.68235, 0.01093, 0.02476,9, 0.69277, 0.02796, 0.03180,12, 0.76261, 0.00540, 0.01941,11, 0.75206, 0.00709, 0.02018,13,661, 3.06382, 0.00497, 0.01926
948, 0.90576, 0.10472,9, 0.69252, 0.01846, 0.02567,12, 0.88361, 0.00600, 0.01776,10, 0.70022, 0.01029, 0.02213,12, 0.83433, 0.00559, 0.01799,13, 0.79655, 0.00533, 0.01773,13,750, 3.02760, 0.00558, 0.01774
949, 0.93675, 0.10472,10, 0.70115, 0.01147, 0.02493,13, 0.80282, 0.00522, 0.01681,12, 0.73885, 0.00700, 0.01881,12, 0.74909, 0.00542, 0.01735,12, 0.77140, 0.00546, 0.01767,12,707, 2.85530, 0.00598, 0.01885
959, 0.87225, 0.10472,12, 0.88344, 0.02765, 0.03184,13, 0.92962, 0.00794, 0.02665,12, 0.84063, 0.01440, 0.03184,14, 0.89504, 0.00647, 0.02444,13, 0.82742, 0.00694, 0.02519,13,641, 2.83471, 0.00625, 0.02408
967, 0.90331, 0.10472,10, 0.77975, 0.01820, 0.02925,12, 0.89590, 0.00676, 0.02327,11, 0.72217, 0.01030, 0.02788,14, 0.97986, 0.00596, 0.02186,13, 0.78032, 0.00631, 0.02255,12,676, 2.79097, 0.00688, 0.02193
973, 0.91512, 0.10472,10, 0.67436, 0.01525, 0.02641,12, 0.84063, 0.00605, 0.01968,11, 0.80352, 0.00887, 0.02322,12, 0.72837, 0.00595, 0.01958,12, 0.74260, 0.00597, 0.01973,13,736, 3.05300, 0.00595, 0.01893
1006, 0.94944, 0.10472,10, 0.66767, 0.01176, 0.02296,12, 0.69278, 0.00548, 0.01842,11, 0.61755, 0.00671, 0.01962,13, 0.81513, 0.00482, 0.01696,13, 0.74962, 0.00492, 0.01717,15,819, 3.64568, 0.00424, 0.01694
97, 0.96441, 0.10472,14, 0.86224, 0.01058, 0.02591,18, 1.00744, 0.00251, 0.00855,14, 0.76462, 0.00373, 0.01424,15, 0.78560, 0.00275, 0.00985,14, 0.78374, 0.00287, 0.01031,18,855, 3.66556, 0.00237, 0.00829
123, 0.74530, 0.10472,15, 1.20069, 0.12744, 0.06814,12, 0.94729, 0.05811, 0.06128,11, 0.90834, 0.08383, 0.06564,19, 1.35080, 0.00305, 0.02783,14, 1.15776, 0.04356, 0.05474,15,761, 3.90623, 0.00301, 0.02397
317, 0.75007, 0.10472,20, 2.65109, 0.05950, 0.12733,23, 2.22993, 0.00669, 0.03729,18, 1.77937, 0.01670, 0.07183,18, 1.92565, 0.00469, 0.01471,18, 1.70143, 0.00409, 0.01648,17,931, 4.89879, 0.00519, 0.01215
327, 0.58178, 0.10472,50,12.21483, 0.33092, 0.73221,38, 6.74650, 0.03732, 0.14960,36, 6.53911, 0.07010, 0.10759,26, 4.33812, 0.01998, 0.07634,19, 3.11758, 0.01426, 0.04860,25,636, 6.83537, 0.02596, 0.09674
330, 0.51475, 0.10472,50,16.23722, 0.21818, 0.60402,50,13.75465, 0.07894, 0.37856,50,12.16271, 0.13334, 0.57929,50,11.54270, 0.09521, 0.53390,50,10.38402, 0.00983, 0.04969,23,817, 7.57997, 0.02956, 0.11375
337, 0.41613, 0.10472,50,23.39134, 0.39833, 0.23910,50,18.22023, 0.31319, 0.69016,50,17.24342, 0.38708, 0.82920,50,18.15751, 0.24778, 0.44324,50,18.89207, 0.23396, 0.60628,21,655, 7.61040, 0.02379, 0.09057
343, 0.50228, 0.10472,50,19.71746, 0.26579, 0.65885,50,13.63279, 0.13523, 0.61646,50,15.60324, 0.18193, 0.45931,50,11.01035, 0.03602, 0.23759,50,11.33961, 0.01057, 0.04804,17,691, 6.21842, 0.00957, 0.05905
357, 0.87543, 0.10472,14, 1.01630, 0.00989, 0.03281,15, 1.04423, 0.00532, 0.01965,16, 0.99045, 0.00777, 0.02264,15, 0.94330, 0.00461, 0.01953,15, 0.85212, 0.00449, 0.01950,17,1116, 4.45406, 0.00432, 0.01847
404, 0.90848, 0.10472,18, 0.62927, 0.01335, 0.03836,16, 0.57620, 0.00646, 0.01772,18, 0.62015, 0.00893, 0.03122,17, 0.60898, 0.00638, 0.01881,16, 0.60229, 0.00659, 0.01907,15,831, 3.20073, 0.00376, 0.06369
440, 0.68934, 0.10472,17, 1.17434, 0.01955, 0.10263,14, 0.88925, 0.00980, 0.03200,14, 0.87459, 0.01137, 0.05195,15, 0.88531, 0.00914, 0.02964,16, 0.93661, 0.00926, 0.03091,15,1017, 4.06116, 0.00220, 0.02620
464, 0.65954, 0.10472,15, 1.00232, 0.01918, 0.08482,14, 0.94493, 0.00995, 0.03474,14, 0.92339, 0.01192, 0.04430,14, 0.87739, 0.00988, 0.03492,15, 0.92835, 0.01081, 0.03934,14,968, 3.99666, 0.00231, 0.03002
488, 0.61728, 0.10472,25, 1.27237, 0.03391, 0.14532,14, 0.74547, 0.01342, 0.04379,11, 0.65551, 0.01749, 0.06901,16, 0.87849, 0.01419, 0.05196,19, 1.02253, 0.01395, 0.05035,26,1543, 6.02425, 0.00851, 0.02563
492, 0.63286, 0.10472,30, 1.43536, 0.03079, 0.12343,16, 0.90272, 0.01371, 0.04040,13, 0.79065, 0.01626, 0.05596,16, 0.91442, 0.01421, 0.04526,22, 1.15546, 0.01399, 0.04333,30,1662, 6.59366, 0.00813, 0.03118
504, 0.59215, 0.10472,17, 0.95158, 0.02490, 0.10032,15, 0.80928, 0.01350, 0.05046,14, 0.79848, 0.01559, 0.06453,13, 0.72959, 0.01499, 0.06140,18, 0.87970, 0.01424, 0.05869,8,547, 2.07260, 0.00844, 0.04101
525, 0.61173, 0.10472,14, 1.11481, 0.01752, 0.09692,13, 1.01558, 0.01025, 0.03645,13, 0.88335, 0.01351, 0.05606,14, 1.06587, 0.01143, 0.04233,15, 0.99027, 0.01250, 0.04806,12,765, 3.21484, 0.00656, 0.02745
534, 0.70111, 0.10472,15, 1.07811, 0.01509, 0.07956,19, 1.17817, 0.00803, 0.03363,16, 1.00846, 0.01085, 0.04804,18, 1.25777, 0.00783, 0.03311,17, 1.14403, 0.00872, 0.03710,19,1125, 4.73885, 0.00434, 0.02602
587, 0.87509, 0.10472,17, 0.86665, 0.01022, 0.02241,18, 0.86706, 0.00382, 0.01320,18, 0.85572, 0.00699, 0.01531,19, 0.92302, 0.00337, 0.01387,18, 0.86229, 0.00303, 0.01673,18,936, 3.75279, 0.00334, 0.01779
